"Seck", "Khadim", "seck@mailme.com", "", "", "", 4, 4.7, ""
"Diop", "Awa", "diop@mailme.com", "", "", "", 17, 4.3, ""
"Ndao", "Mbaye", "ndao@mailme.com", "", "", "", 10, 3.7, ""
"Kane", "Penda", "kane@mailme.com", "", "", "", 4, 2.7, ""
"Diagne", "Babacar", "diagne@mailme.com", "", "", "", 16, 4.6, ""
"Thioune", "Bineta", "thioune@mailme.com", "", "", "", 4, 4.5, ""
"Bâ", "Idrissa", "ba@mailme.com", "", "", "", 3, 4.1, ""
"Mbaye", "Nafissatou", "mbaye@mailme.com", "", "", "", 2, 4.2, ""
"Sène", "Ibrahim", "sene@mailme.com", "", "", "", 28, 4.9, ""
"Gadiaga", "Sokhna", "gadiaga@mailme.com", "", "", "", 42, 2.3, ""
"Gaye", "Abdou", "gaye@mailme.com", "", "", "", 36, 4.1, ""
"Diack", "Astou", "diack@mailme.com", "", "", "", 1, 4.2, ""
"Kâ", "Mamadou", "ka@mailme.com", "", "", "", 8, 3.5, ""
"Ndiaye", "Ndèye", "ndiaye@mailme.com", "", "", "", 17, 4.6, ""
"Samb", "Modou", "samb@mailme.com", "", "", "", 43, 4.3, ""
"Mendy", "Sadio", "mendy@mailme.com", "", "", "", 6, 3.7, ""
"Takahashi", "Yuki", "takahashi@mailme.com", "", "", "", 3, 3.9, "" 
"Tanaka", "Aiko", "tanaka@mailme.com", "", "", "", 3, 3.9, "" 
"Watanabe", "Sakura", "watanabe@mailme.com", "", "", "", 3, 3.9, "" 
"Ito", "Ren", "ito@mailme.com", "", "", "", 3, 3.9, "" 
"Yamamoto", "Masashi", "yamamoto@mailme.com", "", "", "", 3, 3.9, "" 
